SITE	Age (Ma)	Genus	d18O 5pt
659	0.432	CIB	4.76
607	0.4344	CIB	4.85
806	0.436	CIB	4.92
849	0.436	CIB	4.82
659	0.436	CIB	4.85
607	0.438	CIB	4.94
849	0.44	CIB	4.82
659	0.44	CIB	4.72
806	0.441	CIB	4.72
607	0.4417	CIB	4.71
849	0.444	CIB	4.59
659	0.444	CIB	4.66
806	0.445	CIB	4.68
607	0.4453	CIB	4.65
659	0.447	CIB	4.53
849	0.448	CIB	4.56
806	0.45	CIB	4.64
849	0.452	CIB	4.53
659	0.452	CIB	4.44
607	0.4526	CIB	4.38
806	0.454	CIB	4.42
607	0.4545	CIB	4.34
659	0.455	CIB	4.29
849	0.456	CIB	4.3
607	0.4577	CIB	4.43
806	0.46	CIB	4.42
849	0.46	CIB	4.37
659	0.461	CIB	4.41
607	0.4613	CIB	4.47
806	0.464	CIB	4.45
849	0.464	CIB	4.33
607	0.4645	CIB	4.33
607	0.465	CIB	4.36
659	0.467	CIB	4.27
849	0.468	CIB	4.3
607	0.4686	CIB	4.4
806	0.469	CIB	4.5
659	0.471	CIB	4.48
659	0.471	CIB	4.44
849	0.472	CIB	4.34
607	0.4723	CIB	4.18
806	0.474	CIB	3.9
659	0.475	CIB	3.89
607	0.4759	CIB	3.94
849	0.476	CIB	3.88
806	0.478	CIB	3.93
607	0.4795	CIB	4.11
849	0.48	CIB	4.14
659	0.48	CIB	4.12
659	0.481	CIB	4.08
659	0.482	CIB	4.05
806	0.483	CIB	3.93
659	0.483	CIB	3.83
849	0.484	CIB	3.81
607	0.4849	CIB	3.91
659	0.485	CIB	3.88
659	0.485	CIB	3.76
659	0.487	CIB	3.75
806	0.488	CIB	3.67
849	0.488	CIB	3.64
659	0.49	CIB	3.6
607	0.4914	CIB	3.67
806	0.492	CIB	3.71
849	0.492	CIB	3.73
659	0.493	CIB	3.67
659	0.495	CIB	3.69
849	0.496	CIB	3.81
806	0.497	CIB	3.76
607	0.4973	CIB	3.81
659	0.498	CIB	3.85
849	0.5	CIB	3.87
659	0.501	CIB	3.81
806	0.502	CIB	3.85
659	0.503	CIB	3.91
849	0.504	CIB	4.05
659	0.505	CIB	4.03
607	0.5058	CIB	4.03
806	0.506	CIB	4.04
659	0.508	CIB	4.02
849	0.508	CIB	3.94
806	0.511	CIB	4.01
659	0.511	CIB	4.06
849	0.512	CIB	4.05
659	0.513	CIB	4.09
806	0.516	CIB	4.16
849	0.516	CIB	4.19
607	0.5168	CIB	4.19
659	0.517	CIB	4.16
849	0.52	CIB	4.12
806	0.521	CIB	4.02
659	0.523	CIB	3.93
849	0.524	CIB	3.87
806	0.525	CIB	3.93
659	0.526	CIB	4.04
849	0.528	CIB	4
607	0.5295	CIB	4.04
659	0.53	CIB	4.11
806	0.531	CIB	4.14
849	0.532	CIB	3.99
659	0.535	CIB	4.07
806	0.536	CIB	4.14
849	0.536	CIB	4.19
849	0.54	CIB	4.22
659	0.54	CIB	4.32
806	0.541	CIB	4.35
607	0.5422	CIB	4.33
849	0.544	CIB	4.38
806	0.545	CIB	4.39
659	0.545	CIB	4.47
849	0.548	CIB	4.45
659	0.549	CIB	4.47
806	0.55	CIB	4.34
849	0.552	CIB	4.43
806	0.554	CIB	4.34
659	0.554	CIB	4.33
607	0.5549	CIB	4.28
849	0.556	CIB	4.36
806	0.558	CIB	4.22
659	0.558	CIB	4.14
849	0.56	CIB	4.1
806	0.562	CIB	4.16
849	0.564	CIB	3.99
659	0.565	CIB	3.9
806	0.567	CIB	3.92
607	0.5676	CIB	3.85
849	0.568	CIB	3.71
607	0.5707	CIB	3.77
806	0.571	CIB	3.78
659	0.571	CIB	3.76
849	0.572	CIB	3.76
607	0.5735	CIB	3.76
659	0.574	CIB	3.67
806	0.575	CIB	3.55
849	0.576	CIB	3.44
806	0.577	CIB	3.52
806	0.578	CIB	3.51
607	0.579	CIB	3.57
849	0.58	CIB	3.7
806	0.58	CIB	3.77
607	0.5805	CIB	3.78
607	0.5821	CIB	3.84
806	0.583	CIB	3.81
849	0.584	CIB	3.97
607	0.5846	CIB	4.03
659	0.585	CIB	4.02
806	0.587	CIB	3.97
849	0.588	CIB	4
607	0.5883	CIB	3.84
607	0.5898	CIB	3.77
607	0.5915	CIB	3.77
806	0.592	CIB	3.77
849	0.592	CIB	3.69
607	0.593	CIB	3.68
607	0.5954	CIB	3.68
806	0.596	CIB	3.63
659	0.596	CIB	3.67
659	0.596	CIB	3.76
659	0.596	CIB	3.82
659	0.596	CIB	3.78
849	0.596	CIB	3.79
607	0.5967	CIB	3.68
849	0.6	CIB	3.67
607	0.6009	CIB	3.77
806	0.601	CIB	3.87
659	0.601	CIB	3.8
849	0.604	CIB	4
806	0.605	CIB	4.02
659	0.606	CIB	3.87
849	0.608	CIB	3.82
607	0.6092	CIB	3.78
806	0.61	CIB	3.67
607	0.612	CIB	3.75
849	0.612	CIB	3.74
659	0.612	CIB	3.69
806	0.614	CIB	3.7
607	0.6154	CIB	3.69
849	0.616	CIB	3.39
607	0.6166	CIB	3.31
659	0.617	CIB	3.42
806	0.619	CIB	3.48
607	0.6192	CIB	3.5
659	0.62	CIB	3.75
849	0.62	CIB	3.89
607	0.6211	CIB	3.98
659	0.623	CIB	4.12
806	0.623	CIB	4.18
849	0.624	CIB	4.33
659	0.625	CIB	4.41
806	0.627	CIB	4.48
659	0.628	CIB	4.6
849	0.628	CIB	4.75
607	0.628	CIB	4.64
659	0.63	CIB	4.78
806	0.631	CIB	4.84
659	0.632	CIB	4.79
849	0.632	CIB	4.83
806	0.635	CIB	4.98
607	0.636	CIB	4.88
849	0.636	CIB	4.8
